company,source_job_id,title,role_family,city,state,country,workplace_type,employment_type,description_text,qualifications_text,responsibilities_text,first_seen_at,source_posted_at,posting_url
BNY,73320,"Associate, Client Processing I",Operations,Lake Mary,FL,United States,unknown,Full time,"Specialist, Client Processing 1 We're seeking a future team member for the role of Specialist, Client Processing 1 to join our Transaction Processing team for our structured debt platform. This role is located in  Lake Mary, Florida I n this role, you'll make an impact in the following ways: · Perform routine and non-routine client service and transactional support functions · Interact with other organizational units/teams to ensure timely delivery of service, or resolution of issues · Process account related transactions per scheduled events/client authenticated direction · Manage situations which may require adaptation of response or extensive research according to client response To be successful in this role, we're seeking the following: · Bachelor's degree or the equivalent combination of education and experience is required · 0-3 years of total work experience is preferred · Experience in brokerage processing is preferred",,,2026-07-20 19:37:13.092816,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/73320
BNY,78275,"Senior Vice President, Forward Deployed Engineer",Software Engineering,Pittsburgh,PA,United States,unknown,Full time,"At BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worldwide. Recognized as a top destination for innovators, BNY is where bold ideas meet advanced technology and exceptional talent. Together, we power the future of finance – and this is what #LifeAtBNY is all about. Join us and be part of something extraordinary. We’re seeking a future team member for the role of Forward Deployed  Engineer  to join our Engineering Hub Team. This role is located in  New York City or Pittsburgh, PA.    In this role, you'll make an impact in the following ways: Embed with business and platform stakeholders to scope and execute time-boxed FDE engagements with clear entry and exit criteria; translate defined opportunities into production-ready delivery plans. Design, build, and harden AI-first solutions across data, APIs, services, and workflow integrations, moving confidently from prototype to secure, scalable production deployment. Default to reuse-first delivery: extend existing platforms, templates, and modules rather than building avoidable one-offs; contribute reusable code and patterns back to shared repositories. Execute discovery with operating teams and sponsors to clarify constraints, validate feasibility, and rapidly prototype where useful before hardening into production. Surface patterns and learnings from engagements that can be standardized and promoted into shared platform capabilities. Apply secure-by-default practices consistently; incorporate observability, testability, and operational readiness into every solution delivered. Prepare clear handoff packages and transition plans so owning teams can sustain solutions independently after forward deployment ends. Operate within the FDE playbook and contribute feedback to refine standards, handoff criteria, and working norms based on field experience. Coordinate with control, architecture, security, and compliance stakeholders to keep solutions production-appropriate and governance-compliant. Program well-designed, testable, efficient code; actively participate in code reviews and maintain software functionality while managing technical debt. Apply security and privacy principles throughout the software development lifecycle. Mentor junior engineers; engage in active learning, complete mandatory training, and stay abreast of emerging technologies.   To be successful in this role, we're seeking the following: Basic Qualifications Bachelor's degree in computer science, engineering, or a related discipline, or equivalent work experience. 10–14 years of hands-on software development experience, including direct delivery of production systems; experience in the securities or financial services industry is a plus. Strong foundational understanding of modern AI and agentic application patterns, including retrieval-augmented generation (RAG), semantic search, and agent-based system design. Hands-on experience building backend services, APIs, and production systems. Experience working across architecture, data, and platform concerns rather than only within a narrow layer. Preferred Qualifications Experience delivering AI, data,  BPM process orchestration,  or workflow-heavy solutions in regulated environments. Strong systems-thinking and architecture judgment across services, data, and infrastructure. Comfort operating in ambiguity and driving discovery with senior stakeholders. Experience balancing speed with governance, security, and operational rigor. Familiarity with reusable platform patterns, internal developer platforms, or productized infrastructure. Experience with observability, evaluation, and day-2 production ownership practices. Technical Skills Strong software engineering skills in one or more of: Java, TypeScript/JavaScript, Python. Experience with APIs, service integration, and secure-by-default engineering practices. Ability to work across data, AI, workflow, and platform layers as needed. Hands-on data engineering experience with modern data platforms such as Snowflake, Databricks, or comparable cloud-scale data ecosystems. Working knowledge of data governance practices, including data quality, lineage, access controls, metadata management, and policy-aligned data usage. Comfort using modern AI tooling pragmatically without confusing prototypes for production systems. Familiarity with application frameworks and containerization. Non-Technical Skills Strong written and verbal communication across technical and non-technical audiences. Clear product and delivery judgment within a scoped engagement. Ability to coordinate and execute across stakeholders without formal authority. Practical tradeoff thinking under real constraints. Bias toward action with disciplined follow-through. People Leadership Mentors junior engineers within engagements; contributes to team delivery quality and knowledge sharing.   At BNY, our culture speaks for itself, check out the latest BNY news at: BNY Newsroom BNY LinkedIn   Here’s a few of our recent awards:  America’s Most Innovative Companies, Fortune, 2025 World’s Most Admired Companies, Fortune 2025 “Most Just Companies”, Just Capital and CNBC, 2025 Our Benefits and Rewards: BNY offers highly competitive compensation, benefits, and wellbeing programs rooted in a strong culture of excellence and our pay-for-performance philosophy. We provide access to flexible global resources and tools for your life’s journey. Focus on your health, foster your personal resilience, and reach your financial goals as a valued member of our team, along with generous paid leaves, including paid volunteer time, that can support you and your family through moments that matter.  BNY is an Equal Employment Opportunity/Affirmative Action Employer - Underrepresented racial and ethnic groups/Females/Individuals with Disabilities/Protected Veterans. BNY assesses market data to ensure a competitive compensation package for our employees. The base salary for this position is expected to be between $104,000 and $210,000 per year at the commencement of employment. However, base salary if hired will be determined on an individualized basis, including as to experience and market location, and is only part of the BNY total compensation package, which, depending on the position, may also include commission earnings, discretionary bonuses, short and long-term incentive packages, and Company-sponsored benefit programs.  This position is at-will and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation) at any time, including for reasons related to individual performance, change in geographic location, Company or individual department/team performance, and market factors.",,,2026-07-20 19:37:13.931571,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78275
BNY,78304,"Senior Specialist, Client Service",Risk and Compliance,,,United States,unknown,Full time,"We’re seeking a future team member for the role of Senior Specialist, Client Service to join our Default Management Group. This role is located in Houston, Texas. In this role, you’ll make an impact in the following ways:  The role involves collaborating with external clients to address and resolve moderately complex day-to-day issues. Where necessary, clients are directed to the appropriate resources within BNY to ensure their needs are effectively met. Intermediate problem-solving skills, experience, and sound judgement are applied to analyze information and address client concerns. The position requires consistent monitoring of client inquiries, effective resolution of non-routine issues, and, when appropriate, escalation of more complex matters to the relevant team member. Responsibilities include training and managing the work of Client Representatives, ensuring that they are equipped to deliver excellent service and adhere to established procedures. Key operational tasks encompass reporting, processing investor and vendor payments, managing cash operations, as well as supporting and completing compliance and risk management activities and requirements.   To be successful in this role, we’re seeking the following:  Bachelor’s degree or the equivalent combination of education and experience is required. 5-7 years of total work experience preferred. Experience in an operational area and/or client services preferred.",,,2026-07-20 19:37:14.825590,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78304
BNY,78688,"Vice President, Fund Reporting",Risk and Compliance,Westborough,MA,United States,unknown,Full time,"We’re seeking a future team member for the role of Vice President, Fund Reporting to join our team. This role is located in Westborough, MA. In-office requirement is four days. In this role, you’ll make an impact in the following ways: Prepares and reviews accounting statements for complex funds on behalf of clients. Reviews balance sheet, income statement, statement of cash flows and statement of shareholders equity for the most complex funds to ensure reported numbers are reconciled. Drafts accounting statements and reports for more complex funds, incorporating fund calculations, for clients to review fund performance. Ensures financial reports meet Corporate and any applicable regulatory standards.   To be successful in this role, we’re seeking the following: Bachelor's degree in accounting or the equivalent combination of education and experience is required. 7-10 years of total work experience preferred. Experience in accounting preferred. No direct reports. Provides guidance to less experienced team members as needed. May be tasked with Team Lead responsibilities. May have people management responsibilities in some geographies.",,,2026-07-20 19:37:15.850591,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78688
BNY,78791,"Senior Specialist, Fund/Client Accounting",Finance and Accounting,Boston,MA,United States,unknown,Full time,"We’re seeking a future team member for the role of Senior Specialist to join our Fund/Client Accounting team. This role is located in Boston, MA. In-office requirement is four days. In this role, you’ll make an impact in the following ways: Conducts accounting services on behalf of assigned clients and moderately complex funds including determining net asset values, calculating fund performance, allocating expenses and preparing reports. Performs complex Fund/Client Accounting responsibilities in the areas of driving Service Improvement plans, targeting efficiencies, enhancing processes and specialist review functions. Provides guidance and reviews work related to cash and asset reconciliations relating to complex accounts or transactions. Resolves reconciliation of accounts for more complex or atypical transactions and reviews work of junior team members. Drafts reports for clients regarding the performance of complex funds. Reviews draft reports completed by more junior staff. Regularly interacts with clients in answering questions and resolving issues regarding fund reports and accounting processes.   To be successful in this role, we’re seeking the following: Bachelor's degree in accounting or the equivalent combination of education and experience is required. 5-7 years of total work experience preferred. Big 4 accounting firm experience preferred. No direct reports. Provides guidance to less experienced team members.",,,2026-07-20 19:37:16.948878,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78791
BNY,78795,"Senior Specialist, Investor Services Operations",Operations,Boston,MA,United States,unknown,Full time,"We’re seeking a future team member for the role of Senior Specialist, Investor Services Operations to join our Investor Services Operations team. This role is located in Boston, MA. In-office requirement is four days. In this role, you’ll make an impact in the following ways: Conducts, analyzes, and reports on transfer agency operations activities for clients of moderate complexity. Leads client onboarding and internal conversions. Conducts key metric reporting and consults on daily Transfer Agency processes. Assists management in the day-to-day operations of the business by resolving escalated issues. Conducts reviews of processes and procedures to reduce risk, enhance efficiency, and make recommendations for modification to improve productivity.   To be successful in this role, we’re seeking the following: Bachelor’s degree or the equivalent combination of education and experience is required. 3-5 years of total work experience preferred. Experience in transfer agency operations preferred. Applies key controls/processes to identify potential risk and analyzes business data to identify trends to mitigate risk or enhance client relationships. Provides guidance to less experienced team members as needed and contributes to the achievement of team objectives.",,,2026-07-20 19:37:17.905888,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78795
BNY,78801,"Vice President, Corporate Actions, Operations - Fund & Investor Solutions",Operations,Pittsburgh,PA,United States,unknown,Full time,"Vice President, Corporate Actions, Operations - Fund & Investor Solutions At BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worldwide.   Recognized as a top destination for innovators, BNY is where bold ideas meet advanced technology and exceptional talent. Together, we power the future of finance – and this is what #LifeAtBNY is all about. Join us and be part of something extraordinary. We’re seeking a future team member for the role of Vice President, Corporate Actions. This role is located in Pittsburgh, PA (4 days in office required). In this role, you’ll make an impact in the following ways:  Responsible for managing and overseeing corporate action-related processes, ensuring the accurate and timely execution of various events.  Accountable for accurate data ingestion and results across mandatory and voluntary market events, leveraging analysis of custody, vendor and client data.  Serve as a Corporate Actions expert, providing guidance, training, and support to less experienced team members. Research and respond to inquiries from internal and external parties, offering timely and accurate resolutions. Manage the collaboration with internal and external departments to reconcile activity and resolve breaks between custody and accounting platforms in a timely manner.  Lead and manage a team of corporate actions specialists, ensuring effective collaboration and efficient workflow. Assists with onboarding new clients, conducting due diligence sessions, and helps drive project initiatives.  To be successful in this role, we’re seeking the following:  7-10 years of experience in financial services, with a strong background in corporate actions or a related field. In-depth knowledge of corporate action procedures, events, and market practices, with a proven track record of successful execution. Strong leadership skills and the ability to manage and mentor a team, fostering a positive and collaborative work environment. Excellent communication and interpersonal skills, with the ability to build relationships and collaborate effectively across teams. Analytical thinking and problem-solving abilities, coupled with a strategic mindset to drive process improvements. Ability to work independently, manage multiple priorities, and adapt to a fast-paced and dynamic work environment. A deep understanding of the global financial system and its impact on corporate actions, with a focus on risk management.",,,2026-07-20 19:37:18.920198,2026-08-10 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78801
BNY,78802,"Senior Vice President, Fund/Client Accounting Manager",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,"We’re seeking a future team member for the role of Senior Vice President in Fund/Client Accounting to join our team. This role is located in Lake Mary, FL. There is a four day in office requirement.  In this role, you’ll make an impact in the following ways: Direct multiple Fund Accounting teams responsible for conducting accounting services on behalf of a broad array of assigned clients, including determining net asset values, calculating fund performance, allocating expenses, and preparing reports. Direct processes and allocation of resources in determining the net asset value (NAV) for assigned funds in multiple sectors for each measurement cycle. Manage relationships with a broad set of clients and resolve any unique escalated issues related to fund calculations and accounting. Provide guidance to teams to ensure accounting records are maintained in accordance with departmental policies and procedures and resolve complex escalated issues from team members. To be successful in this role, we’re seeking the following: Bachelor’s degree in accounting or the equivalent combination of education and experience is required. 5-7 years of total work experience and at least 1-3 years in management preferred. Big 4 accounting firm experience preferred. People leadership experience is applicable, as this role manages multiple Fund/Client Accounting teams.",,,2026-07-20 19:37:20.120585,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78802
BNY,78805,"Vice President, Fund/Client Accounting Manager",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,"We’re seeking a future team member for the role of Vice President, Fund/Client Accounting Manager to join our Accounting Services team. This role is located Lake Mary, FL. In-office requirement is four days. In this role, you’ll make an impact in the following ways: Lead and manage a team of accounting professionals by demonstrating expertise in fund and client accounting, ensuring high-quality service delivery. Oversee the preparation and review of financial statements, ensuring accuracy and compliance with regulatory standards. Collaborate with internal and external stakeholders to address accounting issues and develop robust solutions that align with BNY's strategic goals. Drive process improvements and efficiency initiatives within the accounting function, leveraging technology and best practices. Ensure adherence to BNY's principles by fostering a culture of integrity, client focus, and operational excellence within the team. Support the career development of team members by providing coaching, feedback, and opportunities for growth.   To be successful in this role, we’re seeking the following: Bachelor's degree in Accounting, Finance, or a related field. Professional accounting designation (e.g., CPA, CMA) preferred. Typically 4-7 years of experience. Strong leadership and team management skills. Excellent analytical and problem-solving abilities. Proficient in financial reporting and accounting software.",,,2026-07-20 19:37:20.908847,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78805
BNY,78844,"Senior Specialist, Fund/Client Accounting",Finance and Accounting,Lake Mary,FL,United States,unknown,Full time,"We’re seeking a future team member for the role of Senior Specialist to join our Fund/Client Accounting team. This role is located in Lake Mary, FL. In-office requirement is four days.  In this role, you’ll make an impact in the following ways: Conduct accounting services on behalf of assigned clients and moderately complex funds including determining net asset values, calculating fund performance, allocating expenses and preparing reports. Perform complex Fund/Client Accounting responsibilities in the areas of driving Service Improvement plans, targeting efficiencies, enhancing processes and specialist review functions. Provide guidance and reviews work related to cash and asset reconciliations relating to complex accounts or transactions, and resolve reconciliation of accounts for more complex or atypical transactions. Draft reports for clients regarding the performance of complex funds and review draft reports completed by more junior staff.   To be successful in this role, we’re seeking the following: Bachelors degree in accounting or the equivalent combination of education and experience is required. 5-7 years of total work experience preferred. Big 4 accounting firm experience preferred. No direct reports. Provides guidance to less experienced team members. May have people management responsibilities in some geographies.",,,2026-07-20 19:37:22.171895,2026-07-20 00:00:00,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/78844
